Category,Correction,CorrectionDirection
Left Shoulder,Keep your left shoulder higher than your right at address.,higher
Left Shoulder,Your left shoulder should be higher than your right at impact.,higher
Left Shoulder,Your left shoulder should be higher than your right at the top of the backswing.,higher
Left Shoulder,Prevent your left shoulder from dropping too low.,higher
Left Shoulder,Ensure your left shoulder stays higher during the takeaway.,higher
Left Shoulder,Your left shoulder should be slightly higher than your right during the backswing.,higher
Left Shoulder,Maintain your left shoulder's height through the downswing.,higher
Left Shoulder,Your left shoulder should not dip below your right shoulder at address.,higher
Left Shoulder,Focus on keeping your left shoulder elevated during the backswing.,higher
Left Shoulder,Your left shoulder needs to stay above your right shoulder for proper tilt.,higher
Left Shoulder,Keep your left shoulder up and stable throughout the swing.,higher
Left Shoulder,Ensure your left shoulder doesn't collapse during the downswing.,higher
Left Shoulder,Your left shoulder should be higher than your right at the finish.,higher
Left Shoulder,"To avoid shanking, keep your left shoulder higher.",higher
Left Shoulder,A higher left shoulder promotes a better angle of attack.,higher
Left Shoulder,Your left shoulder should be higher than your right at the point of extension.,higher
Left Shoulder,Work on keeping your left shoulder high for a wider swing arc.,higher
Left Shoulder,Your left shoulder should feel like it's lifting towards the target.,higher
Left Shoulder,Prevent your left shoulder from falling too low in the follow-through.,higher
Left Shoulder,Keep your left shoulder higher to encourage a full shoulder turn.,higher
Left Shoulder,Ensure your left shoulder remains high as you shift weight forward.,higher
Left Shoulder,Your left shoulder should be notably higher at the top of a full swing.,higher
Left Shoulder,Promote an ascending blow by keeping your left shoulder higher through impact.,higher
Left Shoulder,Your left shoulder should stay higher to prevent an outside-in swing path.,higher
Left Shoulder,Your left shoulder should be lower than your right at the top of the backswing.,lower
Left Shoulder,Allow your left shoulder to drop slightly in the downswing.,lower
Left Shoulder,Your left shoulder should finish lower than your right.,lower
Left Shoulder,Ensure your left shoulder rotates on a lower plane.,lower
Left Shoulder,Your left shoulder should be lower at the finish.,lower
Left Shoulder,Allow your left shoulder to dip on the downswing for more power.,lower
